,Cloudiness,Humidity,Lat,Name,Temperature,Wind Speed
88,20,93,-15.97,Jaciara,73.78,2.75
89,68,70,-33.65,Busselton,79.32,3.87
90,90,39,42.64,Pontiac,29.84,8.05
91,100,100,-22.97,Arraial do Cabo,70.36,11.1
92,75,84,62.46,Yellowknife,8.6,8.05
93,64,100,-21.2,Vaini,77.16,20.6
94,0,41,-22.28,Noumea,91.4,11.41
95,68,70,-33.65,Busselton,79.32,3.87
96,0,60,54.72,Athabasca,27.48,10.92
97,90,55,41.7,Warwick,35.15,3.36
98,64,100,-21.2,Vaini,77.16,20.6
99,56,77,-34.53,Bredasdorp,68.0,8.05
100,90,85,70.47,Clyde River,10.4,18.34
101,76,94,4.93,Cayenne,77.0,2.24
102,90,94,-21.21,Avarua,77.0,4.7
103,48,99,-46.6,Bluff,61.41,17.4
104,92,100,65.61,Tasiilaq,27.34,17.85
105,0,30,-42.88,Hobart,71.6,23.04
106,8,82,-24.87,Carnarvon,79.09,14.05
107,0,80,-53.15,Punta Arenas,41.0,21.92
108,0,90,22.24,Dwarka,77.79,11.25
109,20,99,-6.64,Sao Felix do Xingu,73.69,2.08
110,75,67,32.67,Ponta do Sol,62.6,8.05
111,8,100,32.38,Misratah,50.16,7.63
112,40,65,-20.34,Bambous Virieux,82.4,10.29
113,0,12,-20.73,Mount Isa,102.2,12.75
114,92,90,67.47,Tazovskiy,18.66,9.86
115,0,80,-53.15,Punta Arenas,41.0,21.92
116,90,58,42.65,Albany,28.96,4.7
117,68,65,67.45,Srednekolymsk,-8.21,3.6
118,0,100,-0.74,Puerto Ayora,71.13,7.74
119,20,58,-21.36,Saint-Philippe,82.29,4.7
120,80,94,-2.97,Rantepao,73.69,2.98
121,8,55,27.98,Guerrero Negro,60.96,13.27
122,90,94,22.08,Kapaa,71.96,6.93
123,0,30,-42.88,Hobart,71.6,23.04
124,0,80,-53.15,Punta Arenas,41.0,21.92
125,64,100,-9.88,Alta Floresta,72.75,2.37
126,48,99,-46.6,Bluff,61.41,17.4
127,0,100,-0.9,Puerto Baquerizo Moreno,72.3,10.13
128,68,70,-33.65,Busselton,79.32,3.87
129,0,82,-33.01,Saldanha,62.6,16.11
130,24,56,-35.35,Ulladulla,73.4,16.11
131,75,84,62.46,Yellowknife,8.6,8.05
132,20,88,-38.0,Mar del Plata,62.6,13.87
133,75,86,49.98,Wittlich,27.5,12.75
134,12,28,-33.87,Esperance,90.39,5.84
135,0,72,10.29,Gombe,58.26,4.76
136,90,65,-54.8,Ushuaia,44.6,25.28
137,36,62,-21.15,Mackay,84.2,12.75
138,68,70,-33.65,Busselton,79.32,3.87
139,20,39,35.73,Hasaki,48.2,5.82
140,0,86,-34.58,Junin,68.29,8.52
141,90,83,55.74,Thompson,-4.01,2.24
142,92,51,69.22,Ilulissat,37.4,28.86
143,20,88,-17.88,Quelimane,73.4,10.29
144,0,88,-13.7,Pisco,66.2,12.75
145,92,100,-3.02,Mushie,71.98,0.25
146,0,100,-33.02,East London,70.81,25.12
147,0,75,54.28,Scarborough,32.0,9.17
148,20,58,-21.36,Saint-Philippe,82.29,4.7
149,20,91,64.5,Nome,1.4,4.7
150,1,85,35.82,Humboldt,23.31,2.86
151,0,55,28.22,Khash,46.51,6.11
152,92,100,65.61,Tasiilaq,27.34,17.85
153,12,83,-23.86,Inhambane,78.46,7.11
154,75,50,41.14,Westport,35.29,3.36
155,40,65,-20.34,Bambous Virieux,82.4,10.29
156,40,93,38.8,Colares,57.97,5.82
157,8,100,18.8,Wanning,71.67,19.53
158,68,100,-9.8,Atuona,79.54,16.62
159,0,62,-35.12,Molina,59.0,3.36
160,75,68,41.12,North Platte,28.4,8.05
161,40,74,78.22,Longyearbyen,30.2,12.75
162,75,83,8.73,Varkkallai,82.4,5.82
163,92,100,-23.12,Rikitea,75.31,12.1
164,68,76,68.75,Cherskiy,-2.99,3.2
165,32,100,-37.62,Lebu,53.31,17.92
166,0,93,7.53,Bonthe,77.43,3.49
167,88,88,-34.42,Hermanus,63.34,6.55
168,76,91,77.48,Qaanaaq,24.42,11.81
169,68,100,-9.8,Atuona,79.54,16.62
170,75,93,-7.96,Santiago de Cao,64.4,6.93
171,40,100,38.2,Lixourion,44.6,14.56
172,90,62,18.77,Alvarado,59.0,23.04
173,0,38,-31.95,Broken Hill,77.56,11.92
174,5,37,22.89,Cabo San Lucas,64.02,3.36
175,92,100,-23.12,Rikitea,75.31,12.1
176,40,100,48.43,Victoria,36.79,4.7
177,32,79,-25.05,Yhu,71.53,3.04
178,90,93,57.79,Kodiak,39.2,12.75
179,90,85,63.75,Iqaluit,19.4,3.36
180,20,88,-17.88,Quelimane,73.4,10.29
181,75,100,47.67,Torbay,32.0,13.87
182,8,100,-0.6,Hithadhoo,82.11,9.35
183,20,88,-38.0,Mar del Plata,62.6,13.87
184,75,100,40.2,Noshiro,33.03,17.22
185,0,100,-0.74,Puerto Ayora,71.13,7.74
186,75,84,62.46,Yellowknife,8.6,8.05
187,88,68,54.83,Shumskiy,20.46,3.2
188,20,82,-33.93,Cape Town,64.4,25.28
189,64,100,-21.2,Vaini,77.16,20.6
190,88,88,-34.42,Hermanus,63.34,6.55
191,20,91,64.5,Nome,1.4,4.7
192,0,92,46.82,Chateauroux,30.2,9.17
193,90,65,-54.8,Ushuaia,44.6,25.28
194,90,76,-45.58,Coihaique,48.97,4.7
195,90,94,-21.21,Avarua,77.0,4.7
196,56,77,-34.53,Bredasdorp,68.0,8.05
197,20,88,-38.0,Mar del Plata,62.6,13.87
198,64,69,70.63,Chokurdakh,-4.61,10.31
199,48,99,-46.6,Bluff,61.41,17.4
200,90,65,-54.8,Ushuaia,44.6,25.28
201,0,100,64.38,Provideniya,21.18,19.71
202,0,62,-33.73,Buin,59.0,8.05
203,90,83,55.74,Thompson,-4.01,2.24
204,0,100,-0.74,Puerto Ayora,71.13,7.74
205,76,72,-37.83,Mount Gambier,65.46,7.11
206,92,38,60.72,Qaqortoq,42.8,50.55
207,40,74,-5.32,Galesong,86.0,4.7
208,92,100,65.61,Tasiilaq,27.34,17.85
209,0,30,-42.88,Hobart,71.6,23.04
210,0,77,-33.92,Port Elizabeth,66.2,32.21
211,88,86,65.42,Maniitsoq,35.31,11.81
212,90,76,-45.58,Coihaique,48.97,4.7
213,0,89,-0.98,Tena,53.94,4.38
214,90,65,-54.8,Ushuaia,44.6,25.28
215,20,86,-33.59,Port Alfred,69.78,23.67
216,64,100,-21.2,Vaini,77.16,20.6
217,75,85,65.28,Norman Wells,19.4,4.7
218,0,80,-53.15,Punta Arenas,41.0,21.92
219,0,88,-8.76,Porto Velho,77.0,2.24
220,44,50,48.1,Mukhen,-3.62,3.6
221,68,100,-9.8,Atuona,79.54,16.62
222,90,94,22.08,Kapaa,71.96,6.93
223,92,100,-23.12,Rikitea,75.31,12.1
224,68,84,6.8,Georgetown,77.56,4.61
225,90,58,42.65,Albany,28.96,4.7
226,40,74,78.22,Longyearbyen,30.2,12.75
227,0,40,4.05,Mega,67.03,11.65
228,56,92,68.05,Ostrovnoy,10.29,13.78
229,0,80,-53.15,Punta Arenas,41.0,21.92
230,24,100,19.22,San Patricio,62.44,2.08
231,1,54,38.88,Hays,33.89,9.17
232,5,37,22.89,Cabo San Lucas,64.02,3.36
233,20,39,35.13,Katsuura,48.2,8.05
234,92,100,-23.12,Rikitea,75.31,12.1
235,20,80,55.46,Ayr,31.84,4.7
236,68,70,-33.65,Busselton,79.32,3.87
237,0,80,-53.15,Punta Arenas,41.0,21.92
238,0,100,-33.02,East London,70.81,25.12
239,0,73,33.34,Baghdad,35.6,5.82
240,0,82,-33.01,Saldanha,62.6,16.11
241,48,99,-46.6,Bluff,61.41,17.4
242,0,80,-53.15,Punta Arenas,41.0,21.92
243,0,11,-23.7,Alice Springs,87.8,13.87
244,20,86,-33.59,Port Alfred,69.78,23.67
245,90,85,70.47,Clyde River,10.4,18.34
246,0,43,27.52,Mangan,44.98,1.36
247,90,93,19.73,Hilo,63.55,8.12
248,0,80,-53.15,Punta Arenas,41.0,21.92
249,80,92,63.18,Ostersund,28.4,4.7
250,36,51,35.17,Nador,51.46,6.93
251,68,98,52.63,Svetlogorsk,30.54,9.64
252,75,69,17.02,Porto Novo,75.2,11.41
253,68,100,-9.8,Atuona,79.54,16.62
254,100,100,-22.97,Arraial do Cabo,70.36,11.1
255,92,100,-17.71,Caravelas,75.58,25.41
256,0,93,7.53,Bonthe,77.43,3.49
257,24,93,5.35,Hobyo,77.56,20.54
258,56,75,63.37,Blagoyevo,11.82,3.31
259,56,77,-34.53,Bredasdorp,68.0,8.05
260,56,75,15.44,Palauig,85.08,3.6
261,75,70,-12.49,Palmerston,89.6,11.41
262,90,67,42.1,Jamestown,22.41,9.17
263,0,89,5.81,Ugep,73.33,3.31
264,90,94,22.08,Kapaa,71.96,6.93
265,32,94,-26.65,Luderitz,60.64,13.15
266,75,84,62.46,Yellowknife,8.6,8.05
267,0,100,-33.02,East London,70.81,25.12
268,0,77,-33.92,Port Elizabeth,66.2,32.21
269,92,96,-24.79,Castro,60.96,6.4
270,32,100,-37.62,Lebu,53.31,17.92
271,0,80,-53.15,Punta Arenas,41.0,21.92
272,75,70,-2.02,Lorengau,89.6,9.17
273,92,94,-5.2,Touros,77.7,7.07
274,40,65,-20.34,Bambous Virieux,82.4,10.29
275,68,100,-9.8,Atuona,79.54,16.62
276,20,62,7.89,Phuket,86.76,4.7
277,90,80,46.99,Lepseny,33.8,9.17
278,92,73,20.47,Yenangyaung,74.55,8.01
279,90,65,-54.8,Ushuaia,44.6,25.28
280,90,25,38.09,Lamar,41.0,9.17
281,0,80,-53.15,Punta Arenas,41.0,21.92
282,88,100,1.74,Sibolga,74.41,2.08
283,68,87,53.72,Nikolsk,11.64,3.38
284,40,71,38.02,Trapani,56.3,20.8
285,90,93,19.73,Hilo,63.55,8.12
286,0,30,-42.78,New Norfolk,71.6,23.04
287,32,100,73.51,Dikson,-0.43,26.69
288,44,65,-19.06,Alofi,82.4,5.82
289,0,30,-42.88,Hobart,71.6,23.04
290,92,97,-9.86,Soe,74.68,0.85
291,90,65,-54.8,Ushuaia,44.6,25.28
292,0,77,-33.92,Port Elizabeth,66.2,32.21
293,90,65,-54.8,Ushuaia,44.6,25.28
294,44,77,52.27,Klyuchi,11.19,3.83
295,0,74,39.26,Muborak,43.18,16.8
296,64,37,-15.77,Kununurra,100.4,11.41
297,20,82,-33.93,Cape Town,64.4,25.28
298,32,100,73.51,Dikson,-0.43,26.69
299,0,46,16.7,Devarkonda,85.71,10.76
300,1,79,40.11,Anderson,22.26,8.05
301,90,58,42.65,Albany,28.96,4.7
302,90,94,22.08,Kapaa,71.96,6.93
303,76,100,3.07,Butaritari,82.56,12.15
304,68,89,16.45,La Trinidad,78.24,2.71
305,64,92,-14.78,Kaoma,69.51,3.27
306,0,88,-40.81,Viedma,61.14,11.36
307,68,70,-33.65,Busselton,79.32,3.87
308,75,45,31.46,Kushima,50.5,11.41
309,0,80,-53.15,Punta Arenas,41.0,21.92
310,0,92,35.31,Sanandaj,23.0,4.7
311,92,100,70.98,Honningsvag,25.18,22.44
312,90,74,39.46,Martinsburg,32.58,1.59
313,90,94,-21.21,Avarua,77.0,4.7
314,1,55,39.61,Fernley,26.08,2.08
315,64,100,19.28,Bodden Town,80.26,15.95
316,90,65,-54.8,Ushuaia,44.6,25.28
317,92,96,-24.79,Castro,60.96,6.4
318,64,69,70.63,Chokurdakh,-4.61,10.31
319,0,80,-53.15,Punta Arenas,41.0,21.92
320,90,92,43.83,Rexburg,12.13,2.3
321,68,100,-9.8,Atuona,79.54,16.62
322,90,65,-54.8,Ushuaia,44.6,25.28
323,64,100,5.38,Sinnamary,77.16,7.34
324,20,88,-38.0,Mar del Plata,62.6,13.87
325,90,84,69.45,Tuktoyaktuk,6.8,17.22
326,90,65,-54.8,Ushuaia,44.6,25.28
327,40,65,-20.41,Mahebourg,82.4,10.29
328,90,67,42.1,Jamestown,22.41,9.17
329,8,82,-24.87,Carnarvon,79.09,14.05
330,90,67,42.1,Jamestown,22.41,9.17
331,90,58,42.65,Albany,28.96,4.7
332,90,65,-54.8,Ushuaia,44.6,25.28
333,24,93,5.35,Hobyo,77.56,20.54
334,90,67,42.1,Jamestown,22.41,9.17
335,90,95,37.67,Glen Allen,32.0,8.05
336,0,97,5.97,Weligama,82.56,3.87
337,0,80,-53.15,Punta Arenas,41.0,21.92
338,75,89,47.6,Bay Roberts,32.0,13.87
339,48,68,62.23,Klaksvik,30.2,28.86
340,0,39,29.04,Yining,51.69,3.27
341,20,82,-33.93,Cape Town,64.4,25.28
342,1,35,34.35,Santa Paula,59.76,5.39
343,0,100,-33.02,East London,70.81,25.12
344,0,30,-42.78,New Norfolk,71.6,23.04
345,88,100,5.89,Sabang,78.6,7.78
346,75,84,62.46,Yellowknife,8.6,8.05
347,20,83,13.07,Oistins,78.8,16.11
348,0,80,-53.15,Punta Arenas,41.0,21.92
349,90,94,22.08,Kapaa,71.96,6.93
350,90,85,63.75,Iqaluit,19.4,3.36
351,40,74,78.22,Longyearbyen,30.2,12.75
352,32,66,-17.97,Broome,91.4,13.87
353,75,84,62.46,Yellowknife,8.6,8.05
354,32,94,-26.65,Luderitz,60.64,13.15
355,75,85,65.28,Norman Wells,19.4,4.7
356,64,95,-38.55,Necochea,64.47,8.63
357,0,30,-42.78,New Norfolk,71.6,23.04
358,56,77,-34.53,Bredasdorp,68.0,8.05
359,68,84,6.8,Georgetown,77.56,4.61
360,68,100,-9.8,Atuona,79.54,16.62
361,90,65,-54.8,Ushuaia,44.6,25.28
362,0,96,39.05,Lagoa,67.08,15.12
363,75,76,40.63,Sorrento,57.2,17.22
364,0,30,-42.88,Hobart,71.6,23.04
365,32,100,73.51,Dikson,-0.43,26.69
366,64,100,-21.2,Vaini,77.16,20.6
367,92,100,-23.12,Rikitea,75.31,12.1
368,8,100,-10.45,Kirakira,84.36,9.53
369,90,67,42.1,Jamestown,22.41,9.17
370,8,56,-34.68,Kiama,73.4,16.11
371,8,82,-24.87,Carnarvon,79.09,14.05
372,0,80,-53.15,Punta Arenas,41.0,21.92
373,0,41,42.8,Hami,33.28,4.72
374,68,70,-33.65,Busselton,79.32,3.87
375,8,40,-28.77,Geraldton,89.6,17.22
376,20,86,-33.59,Port Alfred,69.78,23.67
377,64,69,70.63,Chokurdakh,-4.61,10.31
378,64,69,70.63,Chokurdakh,-4.61,10.31
379,0,96,39.05,Lagoa,67.08,15.12
380,1,92,32.3,Jackson,31.53,6.4
381,0,64,-25.3,Asuncion,75.2,2.75
382,8,98,12.22,Alugan,83.41,0.96
383,90,58,42.65,Albany,28.96,4.7
384,20,57,26.77,Udalguri,69.28,2.3
385,12,83,-23.86,Inhambane,78.46,7.11
386,90,67,42.1,Jamestown,22.41,9.17
387,75,70,-2.02,Lorengau,89.6,9.17
388,68,70,-33.65,Busselton,79.32,3.87
389,76,91,77.48,Qaanaaq,24.42,11.81
390,76,92,-17.07,Ondjiva,67.98,9.24
391,92,96,-6.83,Kilosa,70.86,2.71
392,88,100,4.38,Harper,79.09,8.52
393,8,82,-24.87,Carnarvon,79.09,14.05
394,92,100,-23.12,Rikitea,75.31,12.1
395,90,58,42.65,Albany,28.96,4.7
396,90,65,-54.8,Ushuaia,44.6,25.28
397,0,30,-42.88,Hobart,71.6,23.04
398,44,100,61.47,Vagur,40.08,33.96
399,90,83,55.74,Thompson,-4.01,2.24
400,0,93,7.53,Bonthe,77.43,3.49
401,90,39,42.59,Clinton,29.79,8.05
402,44,100,-10.62,Samarai,84.27,11.03
403,90,85,70.47,Clyde River,10.4,18.34
404,75,61,-28.65,Byron Bay,80.6,20.8
405,90,85,70.47,Clyde River,10.4,18.34
406,56,97,6.46,Bibiani,71.85,4.54
407,36,62,-21.15,Mackay,84.2,12.75
408,56,100,11.28,Bubaque,76.62,17.13
409,92,100,-23.12,Rikitea,75.31,12.1
410,8,65,-20.37,Khorixas,71.44,7.11
411,92,96,-16.48,Faanui,83.41,12.59
412,12,91,20.7,Ixtapa,59.16,2.48
413,20,82,37.72,Vila Franca do Campo,66.2,8.05
414,75,100,61.56,Ylojarvi,35.6,13.87
415,0,95,38.52,Ribeira Grande,67.35,14.9
416,0,62,16.15,Wagar,74.82,12.44
417,68,85,8.0,Marawi,76.98,3.09
418,48,99,-46.6,Bluff,61.41,17.4
419,75,85,65.28,Norman Wells,19.4,4.7
420,92,100,-23.12,Rikitea,75.31,12.1
421,75,100,64.84,Fairbanks,21.24,3.38
422,20,33,36.95,Suozhen,48.99,3.87
423,80,93,66.15,Pangnirtung,20.1,5.73
424,0,62,16.15,Wagar,74.82,12.44
425,44,100,5.2,Bireun,79.14,6.4
426,0,100,-0.74,Puerto Ayora,71.13,7.74
427,0,92,39.92,Elmadag,23.0,3.09
428,1,69,31.37,Praxedis Guerrero,36.73,9.17
429,90,100,33.69,Myrtle Beach,38.59,8.05
430,40,100,48.43,Victoria,36.79,4.7
431,20,83,-7.47,Pitimbu,77.0,5.82
432,76,87,66.32,Egvekinot,15.6,6.89
433,64,100,-21.2,Vaini,77.16,20.6
434,88,92,67.86,Kiruna,21.2,6.93
435,90,65,-54.8,Ushuaia,44.6,25.28
436,100,100,-22.97,Arraial do Cabo,70.36,11.1
437,12,83,25.52,Tura,72.39,2.86
438,40,74,78.22,Longyearbyen,30.2,12.75
439,0,37,17.02,Salalah,69.8,18.34
440,0,49,-38.95,Neuquen,68.0,12.75
441,40,65,-20.34,Bambous Virieux,82.4,10.29
442,90,92,44.92,Aurillac,27.52,2.24
443,56,77,-34.53,Bredasdorp,68.0,8.05
444,92,100,-23.12,Rikitea,75.31,12.1
445,90,64,39.41,Perry Hall,36.19,2.82
446,68,70,-33.65,Busselton,79.32,3.87
447,68,100,50.68,Severo-Kurilsk,31.35,13.67
448,90,64,53.05,Petropavlovsk-Kamchatskiy,37.4,22.37
449,90,77,71.29,Barrow,-0.41,19.46
450,0,37,17.02,Salalah,69.8,18.34
451,90,94,22.08,Kapaa,71.96,6.93
452,44,84,69.7,Pevek,9.66,10.92
453,48,68,62.23,Klaksvik,30.2,28.86
454,68,70,-33.65,Busselton,79.32,3.87
455,0,96,-32.03,Rio Grande,64.2,10.31
456,0,30,-42.88,Hobart,71.6,23.04
457,76,89,-4.27,El Alto,71.04,4.76
458,75,75,57.37,Valdemarpils,41.0,13.87
459,32,100,73.51,Dikson,-0.43,26.69
460,64,100,-9.88,Alta Floresta,72.75,2.37
461,44,65,71.92,Saskylakh,-7.94,6.85
462,92,100,-23.12,Rikitea,75.31,12.1
463,0,30,-42.88,Hobart,71.6,23.04
464,90,94,-21.21,Avarua,77.0,4.7
465,92,93,48.38,Plouzane,37.83,1.12
466,1,23,37.1,Saint George,48.2,6.93
467,92,74,12.15,Kralendijk,82.4,17.22
468,8,82,-24.87,Carnarvon,79.09,14.05
469,12,99,-38.72,Bahia Blanca,61.59,6.06
470,75,50,41.37,Bethel,33.4,3.36
471,68,76,68.75,Cherskiy,-2.99,3.2
472,92,100,-23.12,Rikitea,75.31,12.1
473,75,84,62.46,Yellowknife,8.6,8.05
474,92,94,-5.2,Touros,77.7,7.07
475,0,86,50.39,Rouvroy,29.05,12.75
476,20,82,-33.93,Cape Town,64.4,25.28
477,75,85,65.28,Norman Wells,19.4,4.7
478,64,100,-21.2,Vaini,77.16,20.6
479,90,94,-21.21,Avarua,77.0,4.7
480,0,30,-42.78,New Norfolk,71.6,23.04
481,64,100,-21.2,Vaini,77.16,20.6
482,0,100,64.38,Provideniya,21.18,19.71
483,90,93,19.73,Hilo,63.55,8.12
484,68,76,68.75,Cherskiy,-2.99,3.2
485,92,100,-23.12,Rikitea,75.31,12.1
486,56,76,71.69,Tiksi,-11.59,2.86
487,80,95,6.8,Wattegama,80.4,3.38
488,68,100,-9.8,Atuona,79.54,16.62
489,48,83,68.05,Bilibino,-9.74,2.48
490,44,59,42.54,Helong,20.64,5.61
491,90,63,42.65,Albany,28.4,2.53
492,90,94,-21.21,Avarua,77.0,4.7
493,0,30,-20.74,Karratha,100.78,11.14
494,92,96,-16.48,Faanui,83.41,12.59
495,88,48,-45.87,Dunedin,73.51,8.23
496,20,83,-7.47,Pitimbu,77.0,5.82
497,68,100,-9.8,Atuona,79.54,16.62
498,0,13,-25.24,Yulara,89.6,18.34
499,48,99,-46.6,Bluff,61.41,17.4
500,0,56,15.25,Mulgund,82.24,9.35
501,1,74,48.15,Williston,26.64,9.17
502,24,44,30.92,Chaman,48.45,3.76
503,88,89,8.41,Planeta Rica,75.49,5.99
504,90,65,-54.8,Ushuaia,44.6,25.28
505,68,70,-33.65,Busselton,79.32,3.87
506,56,77,-34.53,Bredasdorp,68.0,8.05
507,40,73,42.1,Jamestown,20.61,10.29
508,68,84,6.8,Georgetown,77.56,4.61
509,92,90,54.46,Zverinogolovskoye,24.42,9.31
510,68,66,65.75,Zyryanka,-8.62,4.27
511,0,49,63.92,Sangar,-30.13,1.7
512,90,94,22.2,Bandarban,75.2,2.98
513,0,49,63.92,Sangar,-30.13,1.7
514,92,100,-23.12,Rikitea,75.31,12.1
515,0,77,-33.92,Port Elizabeth,66.2,32.21
516,64,100,-21.2,Vaini,77.16,20.6
517,0,100,65.58,Lavrentiya,24.01,27.76
518,75,84,71.29,Barrow,-2.21,21.92
519,20,39,35.73,Hasaki,48.2,5.82
520,80,94,69.38,Leningradskiy,18.84,12.59
521,32,94,-26.65,Luderitz,60.64,13.15
522,90,100,29.6,Houma,35.55,6.93
523,100,92,-10.61,Livingstonia,73.2,2.71
524,75,87,39.89,Mao,48.2,11.41
525,90,63,42.65,Albany,28.4,2.53
526,75,93,63.73,Sistranda,39.2,25.28
527,20,82,-33.93,Cape Town,64.4,25.28
528,20,86,-33.59,Port Alfred,69.78,23.67
529,80,100,66.94,Sisimiut,26.49,2.3
530,0,30,-42.78,New Norfolk,71.6,23.04
531,90,100,-0.31,Kalangala,66.2,6.93
532,44,84,69.7,Pevek,9.66,10.92
533,90,94,22.08,Kapaa,71.98,6.93
534,12,75,34.17,Leh,-13.57,0.85
535,76,100,3.07,Butaritari,82.56,12.15
536,1,75,43.37,Coos Bay,44.6,8.05
537,0,88,-13.7,Pisco,66.2,12.75
538,68,62,-11.85,Santa Eulalia,59.38,1.74
539,0,80,-53.15,Punta Arenas,41.0,21.92
540,0,93,-29.95,Coquimbo,55.4,3.36
541,75,69,17.02,Porto Novo,75.2,11.41
542,76,91,77.48,Qaanaaq,24.42,11.81
543,92,100,-6.22,Kieta,78.91,4.61
544,0,100,-19.55,Isangel,78.69,9.91
545,90,93,19.73,Hilo,63.55,8.12
546,20,82,37.73,Ponta Delgada,66.2,8.05
547,8,100,-0.6,Hithadhoo,82.11,9.35
548,88,88,-34.42,Hermanus,63.34,6.55
549,0,37,17.02,Salalah,69.8,18.34
550,0,63,33.98,Kashan,30.2,4.32
551,0,86,43.06,Oktyabrskoye,31.21,2.08
552,88,84,60.14,Nanortalik,35.76,31.38
553,44,65,-19.06,Alofi,82.4,5.82
554,20,93,40.6,Fortuna,45.77,12.75
555,32,100,73.51,Dikson,-0.43,26.69
556,40,61,34.67,Mehtar Lam,50.0,1.86
557,0,65,26.33,Buraydah,41.0,3.36
558,0,30,-42.88,Hobart,71.6,23.04
